5-HTP,5-HTP,Blå,50 mg,200 mg,Serotonin-prekursor.,Passerar BBB. Kombinera ej med SSRI.,Hög. Serotonergt syndrom risk.,FALSE,5; 7
5-HTP,5-HTP,Blå,100 mg,300 mg,Serotonin.,Går direkt till hjärnan.,Hög. Serotonergt syndrom.,FALSE,5; 7
7-Keto DHEA,7-Keto DHEA,Grön,100 mg,400 mg,Metabolism (termogenes).,Omvandlas ej till könshormon.,Låg.,FALSE,6
"7,8-DHF","7,8-Dihydroxyflavone",Blå,10 mg,30 mg,BDNF-mimetikum (TrkB-agonist).,Neuroplasticitet.,Låg.,FALSE,4
A-vitamin,Vitamin A,Grön,3000 IU,10000 IU,Slemhinnor (barriär).,Infektionsskydd.,Medium.,TRUE,1
A-vitamin (Retinol),Vitamin A (Retinol),Grön,700 mcg,900 mcg,"Syn, hud, immunförsvar.",Fettlöslig.,Medium. Teratogen vid graviditet (hög dos).,TRUE,1
Acai,Acai Berry,Grön,500 mg,1000 mg,Antioxidant (antocyaniner).,Superfood.,Låg.,FALSE,1
Acetyl-L-Karnitin,Acetyl-L-Carnitine (ALCAR),Grön,500 mg,1500 mg,"Mitokondriell energi, fokus.",Korsar BBB bättre än L-Karnitin.,Låg. Kan vara stimulerande.,FALSE,4; 6; 8
Acetyl-L-Karnitin,ALCAR,Grön,500 mg,1500 mg,Mental energi.,Mitokondrier.,Låg.,FALSE,4; 8
Adrafinil,Adrafinil,Blå,300 mg,600 mg,Vakenhet (Modafinil-prodrug).,Belastar levern (leverenzym).,Medium. Levervärden.,FALSE,4
Agaricus Blazei,Agaricus Blazei,Blå,500 mg,1000 mg,Starkt immunstöd.,Mandel-svamp.,Låg.,FALSE,1
Agmatin,Agmatine Sulfate,Blå,500 mg,1000 mg,"Pump, smärta, humör.",Hämmar NOS (kväveoxidsyntas)?,Låg.,FALSE,3; 4
Agmatinsulfat,Agmatine Sulfate,Blå,500 mg,1000 mg,"Neuropati, humör, pump.",Arginin-metabolit.,Låg.,FALSE,4; 3; 5
Aktivt Kol,Activated Charcoal,Grön,500 mg,1000 mg,"Akut detox, gaser.",Binder allt (även medicin/näring).,Medium. Ta ej med mat/medicin.,FALSE,1
ALA,Alpha Lipoic Acid,Grön,300 mg,600 mg,"Insulin, nerver.",Neuropati.,Låg.,FALSE,6
ALA (Alfa-Liponsyra),Alpha-Lipoic Acid (R-ALA),Grön,300 mg,600 mg,"Antioxidant, insulin, neuropati.",R-formen är naturlig/biotillgänglig.,Medium. Sänker blodsocker.,FALSE,6; 8; 4
Alfa-GPC,Alpha-GPC,Grön,300 mg,600 mg,Acetylkolin.,Fokus/Minne.,Låg.,FALSE,4; 2
Alfa-Liponsyra (ALA),Alpha Lipoic Acid,Grön,300 mg,600 mg,"Insulin, antioxidant.",Racemisk blandning (billigare än R).,Låg.,FALSE,6; 8
Aloe Vera (Gel),Aloe Vera Gel,Grön,50 ml,100 ml,Tarmslemhinna.,Undvik latex-delen (laxerande).,Låg.,FALSE,1
Aloe Vera (Juice),Aloe Vera Juice,Grön,30 ml,100 ml,"Matsmältning, lugnande.",Välj renad (utan aloin/latex).,Låg. Laxerande om ej renad.,FALSE,1
Alpha-GPC,Alpha-GPC,Grön,300 mg,600 mg,Kolinkälla för hjärna och kraft.,Korsar BBB effektivt.,Låg.,FALSE,4; 2; 3
Andrographis,Andrographis Paniculata,Grön,200 mg,400 mg,Övre luftvägsinfektion.,"""King of Bitters"".",Låg.,FALSE,1
Aniracetam,Aniracetam,Blå,750 mg,1500 mg,"Kreativitet, ångest, fokus.",Fettlöslig racetam.,Låg.,FALSE,4
Anis,Anise Seed,Blå,500 mg,1000 mg,Gaser.,Traditionell användning.,Låg.,FALSE,1
Apigenin,Apigenin,Blå,50 mg,200 mg,"Sömn, CD38-hämmare (NAD+).",Från kamomill/persilja.,Låg.,FALSE,7; 8
Apigenin (Kamomill),Chamomile Extract (Apigenin),Grön,200 mg,500 mg,"Sömn, NAD+ (CD38-hämmare).",Extrakt standardiserat för apigenin.,Låg.,FALSE,7; 8
Arachidonsyra,Arachidonic Acid,Grön,1 g,1.5 g,Inflammation för muskeltillväxt.,"""Pro-inflammatorisk"" anabol signal.",Medium. Ej vid kronisk inflammation.,FALSE,2
Arginin AKG,Arginine Alpha-Ketoglutarate,Blå,3 g,6 g,Pump (bättre än L-Arg?).,Tveksam biotillgänglighet.,Låg.,FALSE,3
Ashwagandha,Ashwagandha,Grön,300 mg,600 mg,"Sömn, stress.","""Somnifera"" betyder sömnbärande.",Låg.,FALSE,7; 5
Ashwagandha (KSM-66),Ashwagandha (KSM-66),Grön,300 mg,600 mg,"Cykla gärna (t.ex. 8 veckor på, 2 av).",Tas med mat eller på kvällen.,Medium. Kan påverka sköldkörtel/sederande.,FALSE,5; 2; 7
Astaxanthin,Astaxanthin,Grön,4 mg,12 mg,"Solskydd inifrån, lyster.",Karotenoid.,Låg.,FALSE,1
Astaxantin,Astaxanthin,Grön,4 mg,12 mg,"Potent antioxidant, hud, ögon.",Fettlöslig karotenoid.,Låg.,FALSE,8; 3; 1
Astaxantin (Naturlig),Astaxanthin (Natural),Grön,4 mg,12 mg,"Hud, uthållighet, ögon.",Från mikroalger.,Låg.,FALSE,8; 3
Astragalus,Astragalus Root,Grön,500 mg,2000 mg,Immunstärkande (långtids).,Ökar vita blodkroppar.,Låg.,FALSE,1
B-Komplex,B-Complex,Grön,1 dos,1 dos,"Stress, nerver.",Kofaktorer för signalsubstanser.,Låg.,TRUE,5; 1
B-vitaminer,B-Complex,Grön,-,-,"Homocystein, metylering.",Hjärnatrofi skydd.,Låg.,TRUE,4; 1
Bacopa,Bacopa Monnieri,Grön,300 mg,600 mg,"Minne, inlärning.",Bacosider.,Låg.,FALSE,4
Bacopa Monnieri (Synapsa),Bacopa Monnieri (Synapsa),Grön,320 mg,640 mg,Tar 4-6 veckor för full effekt på minne.,Tas med fett (fettlösliga bacosider).,Låg. Kan ge magbesvär/trötthet.,FALSE,4; 5
Banabablad,Banaba Leaf,Grön,50 mg,100 mg,Blodsocker (insulin-mimic).,Korosolsyra.,Låg. Hypoglykemi risk?,FALSE,6
BCAA (2:1:1),BCAA (Branched Chain Amino Acids),Grön,5 g,10 g,"Minskad trötthet, muskelsparande.",EAA ofta bättre för tillväxt.,Låg.,FALSE,2; 3
Benfotiamin,Benfotiamine,Grön,150 mg,600 mg,Fettlöslig B1 för diabetisk neuropati/AGEs.,Mycket högre upptag än tiamin.,Låg.,FALSE,6; 8; 4
Berberin,Berberine HCL,Grön,500 mg,1500 mg,"AMPK-aktivering, blodsocker.","Dåligt upptag, påverkar tarmflora.",Medium. Interagerar med CYP-enzym.,FALSE,6; 8
Berberin,Berberine,Grön,500 mg,1500 mg,Blodsocker.,Metformin-liknande.,Medium.,FALSE,6
Berberin (Fytosom),Berberine Phytosome,Grön,250 mg,500 mg,5-10x bättre upptag än HCL.,Snällare mot magen.,Medium.,FALSE,6; 8
Beta-Alanine,Beta-Alanine,Grön,3.2 g,6.4 g,Buffrar mjölksyra. Stickningar ofarliga.,Kräver laddning över veckor.,Låg. Parestesi (stickningar).,FALSE,3; 2
Betain (TMG),Betaine Anhydrous (TMG),Grön,1.5 g,2.5 g,"Metylgivare, ökar kraftutveckling.",Stödjer SAMe-produktion.,Låg.,FALSE,3; 6; 8
Betain HCL,Betaine HCL,Blå,500 mg,1500 mg,Ökar magsyra.,Endast för de med låg magsyra.,Medium. Ej vid magsår.,FALSE,1; 6
