5-HTP,5-HTP,Blue,50 mg,200 mg,Serotonin-prekursor.,Crosses BBB. Do not combine with SSRI.,High. Risk of serotonin syndrome.,FALSE,5; 7
5-HTP,5-HTP,Blue,100 mg,300 mg,Serotonin.,Goes directly to the brain.,High. Serotonergic syndrome.,FALSE,5; 7
7-Keto DHEA,7-Keto DHEA,Green,100 mg,400 mg,Metabolism (termogenes).,Not converted to sex hormone.,Low.,FALSE,6
"7,8-DHF","7,8-Dihydroxyflavone",Blue,10 mg,30 mg,BDNF-mimetikum (TrkB-agonist).,Neuroplasticitet.,Low.,FALSE,4
A-vitamin,Vitamin A,Green,3000 IU,10000 IU,Mucous membranes (barrier).,Infektionsskydd.,Medium.,TRUE,1
A-vitamin (Retinol),Vitamin A (Retinol),Green,700 mcg,900 mcg,"Vision, skin, immune system.",Fat-soluble.,Medium. Teratogen during pregnancy (high dose).,TRUE,1
Acai,Acai Berry,Green,500 mg,1000 mg,Antioxidant (antocyaniner).,Superfood.,Low.,FALSE,1
Acetyl-L-Karnitin,Acetyl-L-Carnitine (ALCAR),Green,500 mg,1500 mg,"Mitokondriell energi, fokus.",Crosses BBB better than L-Carnitine.,Low. May be stimulating.,FALSE,4; 6; 8
Acetyl-L-Karnitin,ALCAR,Green,500 mg,1500 mg,Mental energi.,Mitokondrier.,Low.,FALSE,4; 8
Adrafinil,Adrafinil,Blue,300 mg,600 mg,Vakenhet (Modafinil-prodrug).,Belastar levern (leverenzym).,Medium. Liver values.,FALSE,4
Agaricus Blazei,Agaricus Blazei,Blue,500 mg,1000 mg,Strong immune support.,Mandel-svamp.,Low.,FALSE,1
Agmatin,Agmatine Sulfate,Blue,500 mg,1000 mg,"Pump, pain, mood.",Inhibits NOS (nitric oxide synthase)?,Low.,FALSE,3; 4
Agmatinsulfat,Agmatine Sulfate,Blue,500 mg,1000 mg,"Neuropathy, mood, pump.",Arginin-metabolit.,Low.,FALSE,4; 3; 5
Aktivt Kol,Activated Charcoal,Green,500 mg,1000 mg,"Acute detox, gases.",Binds everything (including medicine/nutrition).,Medium. Do not take with food/medication.,FALSE,1
ALA,Alpha Lipoic Acid,Green,300 mg,600 mg,"Insulin, nerver.",Neuropati.,Low.,FALSE,6
ALA (Alfa-Liponsyra),Alpha-Lipoic Acid (R-ALA),Green,300 mg,600 mg,"Antioxidant, insulin, neuropati.",The R-form is natural/bioavailable.,Medium. Lowers blood sugar.,FALSE,6; 8; 4
Alfa-GPC,Alpha-GPC,Green,300 mg,600 mg,Acetylkolin.,Fokus/Minne.,Low.,FALSE,4; 2
Alfa-Liponsyra (ALA),Alpha Lipoic Acid,Green,300 mg,600 mg,"Insulin, antioxidant.",Racemic mixture (cheaper than R).,Low.,FALSE,6; 8
Aloe Vera (Gel),Aloe Vera Gel,Green,50 ml,100 ml,Tarmslemhinna.,Undvik latex-delen (laxerande).,Low.,FALSE,1
Aloe Vera (Juice),Aloe Vera Juice,Green,30 ml,100 ml,"Digestion, soothing.",Choose purified (without aloin/latex).,Low. Laxative if not purified.,FALSE,1
Alpha-GPC,Alpha-GPC,Green,300 mg,600 mg,Colin source for brain and power.,Korsar BBB effektivt.,Low.,FALSE,4; 2; 3
Andrographis,Andrographis Paniculata,Green,200 mg,400 mg,Upper respiratory tract infection.,"""King of Bitters"".",Low.,FALSE,1
Aniracetam,Aniracetam,Blue,750 mg,1500 mg,"Creativity, anxiety, focus.",Fat-soluble racetam.,Low.,FALSE,4
Anis,Anise Seed,Blue,500 mg,1000 mg,Gaser.,Traditional use.,Low.,FALSE,1
Apigenin,Apigenin,Blue,50 mg,200 mg,"Sleep, CD38 inhibitor (NAD+).",From chamomile/parley.,Low.,FALSE,7; 8
Apigenin (Kamomill),Chamomile Extract (Apigenin),Green,200 mg,500 mg,"Sleep, NAD+ (CD38 inhibitor).",Extract standardized for apigenin.,Low.,FALSE,7; 8
Arachidonsyra,Arachidonic Acid,Green,1 g,1.5 g,Inflammation for muscle growth.,"""Pro-inflammatorisk"" anabol signal.",Medium. Not for chronic inflammation.,FALSE,2
Arginin AKG,Arginine Alpha-Ketoglutarate,Blue,3 g,6 g,Pump (better than L-Arg?).,Questionable bioavailability.,Low.,FALSE,3
Ashwagandha,Ashwagandha,Green,300 mg,600 mg,"Sleep, stress.","""Somnifera"" means sleep-inducing.",Low.,FALSE,7; 5
Ashwagandha (KSM-66),Ashwagandha (KSM-66),Green,300 mg,600 mg,"Feel free to cycle (e.g. 8 weeks on, 2 off).",Taken with food or in the evening.,Medium. May affect thyroid/sedative.,FALSE,5; 2; 7
Astaxanthin,Astaxanthin,Green,4 mg,12 mg,"Sun protection from within, radiance.",Karotenoid.,Low.,FALSE,1
Astaxantin,Astaxanthin,Green,4 mg,12 mg,"Potent antioxidant, skin, eyes.",Fat-soluble carotenoid.,Low.,FALSE,8; 3; 1
Astaxantin (Naturlig),Astaxanthin (Natural),Green,4 mg,12 mg,"Skin, endurance, eyes.",From microalgae.,Low.,FALSE,8; 3
Astragalus,Astragalus Root,Green,500 mg,2000 mg,Immune-boosting (long-term).,Increases white blood cells.,Low.,FALSE,1
B-Komplex,B-Complex,Green,1 dos,1 dos,"Stress, nerver.",Cofactors for neurotransmitters.,Low.,TRUE,5; 1
B-vitaminer,B-Complex,Green,-,-,"Homocystein, metylering.",Brain atrophy protection.,Low.,TRUE,4; 1
Bacopa,Bacopa Monnieri,Green,300 mg,600 mg,"Memory, learning.",Bacosider.,Low.,FALSE,4
Bacopa Monnieri (Synapsa),Bacopa Monnieri (Synapsa),Green,320 mg,640 mg,Takes 4-6 weeks for full effect on memory.,Taken with fat (fat-soluble bacosides).,Low. May cause gastrointestinal discomfort/fatigue.,FALSE,4; 5
Banabablad,Banaba Leaf,Green,50 mg,100 mg,Blodsocker (insulin-mimic).,Korosolsyra.,Low. Hypoglycemia risk?,FALSE,6
BCAA (2:1:1),BCAA (Branched Chain Amino Acids),Green,5 g,10 g,"Reduced fatigue, muscle-sparing.",EAA often better for growth.,Low.,FALSE,2; 3
Benfotiamin,Benfotiamine,Green,150 mg,600 mg,Fat-soluble B1 for diabetic neuropathy/AGEs.,Much higher absorption than thiamine.,Low.,FALSE,6; 8; 4
Berberin,Berberine HCL,Green,500 mg,1500 mg,"AMPK-aktivering, blodsocker.","Poor absorption, affects gut flora.",Medium. Interacts with CYP enzyme.,FALSE,6; 8
Berberin,Berberine,Green,500 mg,1500 mg,Blodsocker.,Metformin-liknande.,Medium.,FALSE,6
Berberin (Fytosom),Berberine Phytosome,Green,250 mg,500 mg,5-10x better absorption than HCL.,Gentler on the stomach.,Medium.,FALSE,6; 8
Beta-Alanine,Beta-Alanine,Green,3.2 g,6.4 g,Buffers lactic acid. Tingling harmless.,Requires loading over weeks.,Low. Paresthesia (tingling).,FALSE,3; 2
Betain (TMG),Betaine Anhydrous (TMG),Green,1.5 g,2.5 g,"Methyl donor, increases power output.",Supports SAMe production.,Low.,FALSE,3; 6; 8
Betain HCL,Betaine HCL,Blue,500 mg,1500 mg,Increases stomach acid.,Only for those with low stomach acid.,Medium. Not for use in case of stomach ulcers.,FALSE,1; 6
Betain HCL,Betaine HCL,Blue,500 mg,1500 mg,Stomach acid support.,Take in the middle of a meal. Not for wounds.,Medium. Does not burn if not needed.,FALSE,1
Betakaroten,Beta-Carotene,Green,3 mg,15 mg,"Provitamin A, hudskydd.",Converted to A as needed (safer).,Low. 'Smoker's paradox' risk?,TRUE,1; 8
Betasitosterol,Beta-Sitosterol,Green,300 mg,600 mg,"Prostata, kolesterol.",Plant sterol.,Low.,FALSE,1; 6
Bidrottninggelé,Royal Jelly,Blue,500 mg,1000 mg,"Vitalitet, immun.",Nutrient-dense.,Low. Allergy?,FALSE,1
Bifidobacterium Longum,Bifidobacterium Longum,Green,1 mdr,10 mdr,"Stress, mage.",Psykobiotika.,Low.,FALSE,1; 5
Bioperine (Svartpeppar),Bioperine (Black Pepper Extract),Green,5 mg,10 mg,Increases the absorption of other substances.,Inhibits glucuronidation in the liver.,Medium. Affects medication absorption.,FALSE,1; 9
Biotin,Biotin (Vitamin B7),Green,1000 mcg,5000 mcg,"Hair, skin, nails.",Water-soluble.,Low. Disturb lab tests (thyroid/heart).,TRUE,1
Biotin,Biotin,Green,2500 mcg,10000 mcg,"Hair growth, nails.",B-vitamin.,Low. Lab test interference.,TRUE,1
Bittermelon,Bitter Melon,Green,500 mg,1000 mg,Blodsocker.,Contains charantin.,Low.,FALSE,6
Bittermelon,Bitter Melon,Blue,500 mg,1000 mg,Blodsocker.,Plant insulin.,Low.,FALSE,6
Björkblad,Birch Leaf,Blue,500 mg,1000 mg,"Urinary tract, detox.",Diuretisk.,Low.,FALSE,1
Blåbärsextrakt,Blueberry Extract,Green,500 mg,1000 mg,"Minne, antioxidant.",Antocyaniner.,Low.,FALSE,4; 1
Bockhornsklöver,Fenugreek,Green,500 mg,1000 mg,"Libido, blodsocker.",Testofen-extrakt.,Low.,FALSE,2; 6
Bockhornsklöver,Fenugreek,Green,500 mg,1000 mg,Blodsocker efter mat.,Fiber/Saponiner.,Low.,FALSE,6
Bor (Boron),Boron (Citrate/Glycinate),Green,3 mg,9 mg,"Fritt testosteron, ben.",Lowers SHBG.,Low.,FALSE,2; 9
Boron,Boron,Green,3 mg,10 mg,"Bone health, hormones.",Lowers SHBG (increases free testosterone).,Low.,FALSE,9; 2; 1
Boron,Boron,Green,6 mg,12 mg,Fritt testosteron.,Lowers SHBG.,Low.,FALSE,2; 9
Boswellia,Boswellia Serrata,Green,300 mg,500 mg,Inflammation (leder).,AKBA (5-LOX inhibitor).,Low.,FALSE,9
Boswellia (ApresFlex),Boswellia (ApresFlex),Green,100 mg,200 mg,"Leads, fast-acting.",High bioavailability of AKBA.,Low.,FALSE,9
